Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Kingdom of eSwatini,2014,0,,,,,,
Lesotho,2014,0,2639.4458245507,10.9645795822144,,,0.498,2043448.0
Liberia,2014,0,1621.34466455089,,,33.2,0.478,4359508.0
Libya,2014,0,12201.2046848341,,,,0.728,6362039.0
Madagascar,2014,0,1540.74482429407,4.81854009628296,,,0.520,23589897.0
Malawi,2014,0,1432.05512176522,0.83840000629425,21.54824,,0.465,16289550.0
Mali,2014,0,2075.40068139937,5.96996021270752,21.58739,,0.419,16934213.0
Mauritania,2014,0,5008.68825554443,,,32.6,0.531,3930894.0
Mauritius,2014,25,19240.2247080161,39.1263084411621,7.05953,,0.789,1260934.0
Mayotte ,2014,0,,,,,,
Morocco,2014,10,6912.17800214842,25.3326301574707,,,0.652,34192358.0
Mozambique,2014,0,1217.08886738517,6.21614980697632,,54.0,0.425,26286192.0
Namibia,2014,0,10413.3142163299,19.7039604187012,50.60062,,0.631,2273426.0
Niger,2014,0,1127.61407538703,2.56985998153687,13.91832,34.3,0.365,19240182.0
Nigeria,2014,50,5516.38559753258,,,,0.523,176404931.0
Rwanda,2014,0,1780.14497616194,7.38607978820801,,,0.521,11083629.0
Sao Tome And Principe,2014,0,,,,,,
Senegal,2014,0,2868.31587705101,10.7112598419189,28.83961,,0.499,14174740.0
Seychelles,2014,0,24848.6102246552,6.50693988800049,1.12681,,0.775,91359.0
Sierra Leone,2014,0,1997.50929124002,,30.73061,,0.438,7017153.0
Somalia,2014,0,873.493838035325,,,,,13423571.0
South Africa,2014,0,12884.4845981198,19.8092403411865,12.18509,63.0,0.693,54544184.0
South Sudan,2014,0,,,24.68398,,0.428,10554882.0
"St Helena, Ascension and Tristan da Cunha",2014,0,,,,,,
Sudan,2014,0,4124.50961365913,16.9043407440186,,34.2,0.499,37977657.0
Swaziland,2014,0,,,,,,
Tanzania,2014,0,2284.96175730033,4.84903001785278,21.39933,,,49960563.0
Togo,2014,0,1863.28189425443,11.2848997116089,21.68921,,0.493,7137997.0
Total Africa,2014,160,,,,,,
Tunisia,2014,5,10498.849670465,35.3342094421387,,,0.726,11063195.0
Uganda,2014,5,2022.29482007632,4.83663988113403,16.29501,,0.519,36911530.0
Western Sahara,2014,0,,,,,,
Zambia,2014,0,3450.03760014955,,,,0.561,15399793.0
Zimbabwe,2014,5,3195.76796979947,,16.83207,,0.547,13586710.0
Afghanistan,2014,0,2102.38460375974,8.23068046569824,12.41128,,0.500,33370804.0
Asia (Except Middle East) not otherwise specified,2014,0,,,,,,
Bangladesh,2014,15,3511.64550625961,13.8650798797607,,,0.579,154517385.0
Bhutan,2014,0,9574.0290039124,,10.3284,,0.618,719053.0
Brunei,2014,20,64190.8241471541,,,,,
Cambodia,2014,0,3364.27806867374,,,,0.565,15274506.0
China,2014,960,11917.3384959933,42.4307289123535,,39.2,0.731,1364270000.0
East Timor,2014,0,,,,,,
Hong Kong (Special Administrative Region of China),2014,570,,,,,,
India,2014,75,5116.62910485036,25.4321308135986,,,0.616,1295600768.0
Indonesia,2014,25,9801.16628336906,30.8957595825195,15.05278,39.4,0.690,255128076.0
Japan,2014,50,39255.278446443,,20.76276,,0.906,127276000.0
Kazakhstan,2014,20,24355.7561188887,48.8043212890625,,27.0,0.798,17288285.0
Korea (North),2014,0,,,,,,
Korea (South),2014,115,,,,,,
Kyrgyzstan,2014,0,4722.08600228701,,,,0.686,
Laos,2014,0,6193.34032628045,,,,,
Macao (Special Administrative Region of China),2014,15,,,,,,
Malaysia,2014,420,23906.2285804437,39.5085716247559,,,0.791,29866606.0
Maldives,2014,5,17568.4099061804,13.0836496353149,12.8541,,0.718,435018.0
Mongolia,2014,0,10980.3239959288,63.8667411804199,14.28698,32.0,0.732,2940111.0
Myanmar (Burma),2014,5,,,,,,
Nepal,2014,0,3217.44850964835,15.9937496185303,11.41365,,0.576,26905982.0
Pakistan,2014,50,4171.29183022323,9.65985012054443,22.32371,,0.530,195305012.0
Philippines,2014,5,6973.6389092765,35.6268882751465,,,0.696,100513137.0
Singapore,2014,525,87959.4167487017,,,,0.926,5469724.0
Sri Lanka,2014,15,11428.1079039311,19.2456398010254,20.16606,,0.773,20778000.0
Taiwan,2014,30,,,,,,
Tajikistan,2014,0,2884.20022507532,24.7054595947266,,,0.652,8252828.0
Thailand,2014,70,15854.1318583817,50.180061340332,,37.0,0.742,68438748.0
Total Asia,2014,3055,,,,,,
Turkmenistan,2014,0,12421.3697709052,7.96586990356445,,,0.689,5466324.0
Uzbekistan,2014,0,5764.49270515263,8.10313987731934,,,0.696,30757700.0
Vietnam,2014,60,6098.53914798804,30.7154998779297,,34.8,,91713850.0
American Samoa,2014,0,,,,,,55791.0
Antarctica and Oceania not otherwise specified,2014,0,,,,,,
Australia,2014,15,47289.9646101072,,26.53865,34.4,0.933,23475686.0
Christmas Island,2014,0,,,,,,
Cook Islands,2014,0,,,,,,
Fiji,2014,0,12057.9871263878,,,,0.733,866447.0
French Polynesia,2014,0,,,,,,271713.0
Guam,2014,0,,,,,,161007.0
Kiribati,2014,0,1992.23381494478,,,,0.617,109387.0
Marshall Islands,2014,0,3545.20737254596,,,,..,57183.0
Micronesia,2014,0,,,,,,
Nauru,2014,0,13175.9216491939,,,,,10289.0
New Caledonia,2014,0,,,,,,268050.0
New Zealand,2014,5,40432.2414789733,77.9813003540039,24.94879,,0.916,4516500.0
Niue,2014,0,,,,,,
Norfolk Island,2014,0,,,,,,
Northern Mariana Islands,2014,0,,,,,,55301.0
Palau,2014,0,17091.2271727424,,,,0.825,17625.0
Papua New Guinea,2014,0,3909.33865961052,,,,0.542,7946733.0
"Pitcairn, Henderson, Ducie And Oeno Islands",2014,0,,,,,,
Samoa,2014,0,5785.48798809596,,,,0.703,192220.0
Solomon Islands,2014,0,2551.40106578556,,,,0.559,587079.0
South Georgia and The South Sandwich Islands,2014,0,,,,,,
Tokelau,2014,0,,,,,,
Tonga,2014,0,5861.464132687,,,,0.707,101023.0
Total Australasia,2014,25,,,,,,
Tuvalu,2014,0,3447.79622607557,,,,,10973.0
Vanuatu,2014,0,2984.60512391773,,,,0.594,263888.0
Wallis and Futuna,2014,0,,,,,,
Bahrain,2014,5,48201.1571717366,41.3292388916016,,,0.820,1336073.0
Iran,2014,15,13038.5550641113,,,,,
Iraq,2014,0,9991.61597199279,,,,0.645,34411949.0
Israel,2014,10,37474.8491839878,66.9425201416016,15.06281,39.8,0.909,8215700.0
Jordan,2014,15,10284.6700959691,,,,0.729,8918822.0
Kuwait,2014,5,56647.4374166362,51.0297012329102,,,0.796,3690939.0
Lebanon,2014,20,16970.4361679142,,,,0.748,6261046.0
Middle East not otherwise specified,2014,0,,,,,,
Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},2014,0,,,,,,
Oman,2014,5,30530.4993089424,34.5551910400391,,,0.802,4027255.0
Qatar,2014,5,95578.2615108733,13.5804395675659,,,0.835,2459202.0
Saudi Arabia,2014,20,48209.1373331596,58.2967300415039,,,0.852,30916603.0
Syria,2014,5,,,,,,
Total Middle East,2014,145,,,,,,
United Arab Emirates,2014,40,62378.6100477921,,,,0.847,9214182.0
