Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Åland Islands,2015,0,,,,,,
Austria,2015,55,52798.0994607541,80.7194213867188,32.63359,30.5,0.915,8642699.0
Belgium,2015,75,49455.4413365318,74.5597610473633,22.12875,27.7,0.922,11274196.0
Bulgaria,2015,55,19620.1539761978,70.3015365600586,,38.6,0.809,7177991.0
Canary Islands,2015,0,,,,,,
Croatia,2015,5,24562.453617545,66.4910202026367,,31.1,0.840,4203604.0
Cyprus (European Union),2015,120,,,,,,
Cyprus not otherwise specified,2015,0,,,,,,
Czech Republic,2015,40,,64.4816284179688,13.32785,25.9,,10546059.0
Denmark,2015,20,52892.6460290247,82.1294937133789,,28.2,0.933,5683483.0
Estonia,2015,5,31146.7545222679,72.1676177978516,27.04369,32.7,0.877,1315407.0
European Union not otherwise specified,2015,0,,,,,,
Finland,2015,20,45072.5902146238,87.6798706054688,26.69626,27.1,0.930,5479531.0
France,2015,370,43345.7864281559,62.7859306335449,,32.7,0.895,66548272.0
French Guiana,2015,0,,,,,,
Germany,2015,185,51083.9216615196,67.7468719482422,25.94906,31.7,0.938,81686611.0
Gibraltar,2015,5,,,,,,33742.0
Greece,2015,90,28248.1259561464,,,36.0,0.877,10820883.0
Guadeloupe,2015,0,,,,,,
Hungary,2015,90,27499.3244662857,48.9621391296387,14.33275,30.4,0.842,9843028.0
Ireland,2015,10,72251.1535363159,77.2321472167969,23.3454,31.8,0.935,4701957.0
Italy,2015,165,40247.8290437942,60.9394607543945,18.59916,35.4,0.882,60730582.0
Latvia,2015,10,26621.2722286526,74.2998809814453,22.0921,34.2,0.849,1977527.0
Lithuania,2015,25,30748.1963109529,69.7405395507813,27.85941,37.4,0.862,2904910.0
Luxembourg,2015,15,110446.086101647,19.776309967041,13.10114,32.9,0.906,569604.0
Malta,2015,5,39845.1145672313,47.1225814819336,25.33087,29.4,0.880,445053.0
Martinique,2015,0,,,,,,
Netherlands,2015,50,52974.1162200949,80.5699234008789,30.12593,28.2,0.934,16939923.0
Poland,2015,145,27797.0584233597,66.9461517333984,25.2831,31.8,0.863,37986412.0
Portugal,2015,20,31118.7906703279,61.7563285827637,18.30429,35.5,0.854,10358076.0
Réunion,2015,0,,,,,,
Romania,2015,185,23878.1885373067,46.7266883850098,21.16444,35.9,0.815,19815616.0
Slovakia,2015,45,28676.2656111842,,,,0.850,
Slovenia,2015,15,33805.030045384,80.260986328125,19.86943,25.4,0.894,2063531.0
Spain,2015,140,37377.068016704,85.6117782592773,22.35801,36.2,0.895,46444832.0
Sweden,2015,65,50928.962975552,62.2824783325195,24.91335,29.2,0.938,9799186.0
Total Other EU,2015,2020,,,,,,
Albania,2015,5,11878.4880933446,62.0076217651367,21.15599,32.9,0.788,2880703.0
Andorra,2015,0,,,5.47481,,0.862,77993.0
Armenia,2015,5,11321.3325403745,46.521800994873,12.68896,32.4,0.768,2925559.0
Azerbaijan,2015,20,14853.9105525729,25.4832000732422,12.81609,,0.744,9649341.0
Belarus,2015,5,18307.5196678406,89.5671615600586,16.75625,25.6,0.814,9489616.0
Bosnia and Herzegovina,2015,0,12630.6623426277,50.1859893798828,,,0.761,3429362.0
Cyprus (Non-European Union),2015,0,,,,,,
Europe not otherwise specified,2015,0,,,,,,
Faroe Islands,2015,0,,,,,,48055.0
Georgia,2015,5,12605.1400698178,46.481128692627,,36.5,0.790,3725276.0
Iceland,2015,0,52142.9328074888,75.7660598754883,18.88877,26.8,0.934,330815.0
Kosovo,2015,0,9723.58084202974,,,26.5,,1788196.0
Liechtenstein,2015,0,,33.5420417785645,,,0.911,37465.0
Moldova,2015,0,10360.8295911083,52.1283493041992,,27.0,,2834530.0
Monaco,2015,5,,,,,,37723.0
Montenegro,2015,0,18263.6006034136,,,39.0,0.816,622159.0
North Macedonia,2015,5,15072.9475418471,41.1433296203613,,35.6,0.761,2079335.0
Norway,2015,35,62987.5358625454,77.9589385986328,25.905,27.5,0.947,5188607.0
Russia,2015,135,25488.0961196394,,,,,
San Marino,2015,0,58061.8567960786,,,,,33270.0
Serbia,2015,10,15578.2028500791,58.2876892089844,30.11539,40.5,0.789,7095383.0
Svalbard and Jan Mayen,2015,0,,,,,,
Switzerland,2015,80,68025.9200383988,57.7073516845703,26.2626,32.3,0.947,8282396.0
Total Other Europe,2015,380,,,,,,
Turkey,2015,30,25958.6407622392,,,42.9,0.801,78529413.0
Ukraine,2015,35,11237.0744571217,,,25.5,0.765,45154036.0
Vatican City,2015,0,,,,,,
Africa not otherwise specified,2015,0,,,,,,
Algeria,2015,0,11696.9652290603,36.7813186645508,,,0.740,39728020.0
Angola,2015,0,8036.41089824639,8.40093994140625,,,0.572,27884380.0
Benin,2015,0,2945.97022066349,13.5534296035767,22.14901,47.8,0.532,10575962.0
Botswana,2015,5,16714.3978216526,30.2393398284912,,53.3,0.717,2120716.0
Burkina Faso,2015,0,1925.33207544524,5.06382989883423,13.65212,,0.422,18110616.0
Burundi,2015,0,825.20566069269,5.13303995132446,,,0.437,10160034.0
Cameroon,2015,0,3458.69271277942,16.9623908996582,,,0.549,23298376.0
Cape Verde,2015,0,6266.88177858088,,,,,
Central African Republic,2015,0,852.749236638592,,,,0.375,4493171.0
Chad,2015,0,1857.10786365964,3.25130009651184,,,0.398,14110971.0
Comoros,2015,0,2959.49809656739,,10.41168,,0.545,777435.0
Congo,2015,0,5227.93427667066,,,,0.580,
Congo (Democratic Republic) {formerly Zaire},2015,0,,,,,,
Djibouti,2015,0,4488.80265798112,,,,0.499,913998.0
Egypt,2015,20,10570.4452319757,,,,0.691,
Equatorial Guinea,2015,0,28313.4331590396,,,,0.589,1168575.0
Eritrea,2015,0,,3.47650003433228,,,0.454,
Ethiopia,2015,0,1779.0841114169,9.58471012115479,47.8522,35.0,0.462,100835453.0
Gabon,2015,0,15510.0389513624,,,,0.685,1947690.0
"Gambia, The",2015,0,,,11.32833,35.9,,2085860.0
Ghana,2015,0,4662.30319092518,15.690710067749,,,0.590,27849203.0
Guinea,2015,0,2087.93502637033,9.36091995239258,39.1215,,0.457,11432096.0
Guinea-Bissau,2015,0,1800.06338150248,,,,0.464,1737207.0
Ivory Coast,2015,0,,,,,,
Kenya,2015,20,3824.75930317654,9.22955989837646,13.07397,40.8,0.587,47878339.0
Kingdom of eSwatini,2015,0,,,,,,
Lesotho,2015,0,2701.42185521194,10.1868696212769,,,0.503,2059011.0
Liberia,2015,0,1580.47922766632,,,,0.477,4472229.0
Libya,2015,0,11022.4292135086,,,,0.697,6418315.0
Madagascar,2015,0,1546.76704618335,4.8061900138855,0.00634,,0.522,24234080.0
Malawi,2015,0,1432.08525892858,0.818660020828247,24.20894,,0.468,16745305.0
Mali,2015,0,2139.73629713506,5.50317001342773,20.77456,,0.417,17438772.0
Mauritania,2015,0,5127.43228246614,5.61214017868042,,,0.536,4046304.0
Mauritius,2015,15,19897.4753965644,37.4152793884277,6.82223,,0.789,1262605.0
Mayotte ,2015,0,,,,,,
Morocco,2015,20,7126.67058575575,28.4035491943359,,,0.658,34663608.0
Mozambique,2015,0,1262.61312778202,6.65915012359619,,,0.433,27042001.0
Namibia,2015,0,10662.8299304666,20.5975494384766,,59.1,0.638,2314901.0
Niger,2015,0,1132.33120491778,3.29966998100281,13.50337,,0.372,20001663.0
Nigeria,2015,40,5514.77027265177,,,,0.526,181137454.0
Rwanda,2015,0,1889.15810576486,7.61135005950928,20.85792,,0.526,11369066.0
