Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Sao Tome And Principe,2015,0,,,,,,
Senegal,2015,0,2966.45534736483,10.752140045166,32.10913,,0.506,14578450.0
Seychelles,2015,0,25500.4865590545,14.3809900283813,,,0.786,93419.0
Sierra Leone,2015,0,1551.82309051333,,,,0.431,7171909.0
Somalia,2015,0,879.276531935612,,,,,13797204.0
South Africa,2015,0,12840.0354033768,22.260929107666,12.54746,,0.701,55386369.0
South Sudan,2015,0,,,27.60846,,0.425,10715657.0
"St Helena, Ascension and Tristan da Cunha",2015,0,,,,,,
Sudan,2015,0,4187.86272224264,16.9190101623535,,,0.504,38902948.0
Swaziland,2015,0,,,,,,
Tanzania,2015,5,2354.13898543629,4.01015996932983,,,,51482638.0
Togo,2015,0,1920.46930701736,11.5625,17.32638,43.1,0.499,7323162.0
Total Africa,2015,160,,,,,,
Tunisia,2015,0,10510.3303060416,35.1911392211914,23.93817,32.8,0.729,11179951.0
Uganda,2015,5,2054.09044873783,5.22475004196167,,,0.525,38225447.0
Western Sahara,2015,0,,,,,,
Zambia,2015,5,3443.55325404862,,11.83535,57.1,0.569,15879370.0
Zimbabwe,2015,5,3198.982128793,10.0065498352051,,,0.553,13814642.0
Afghanistan,2015,0,2068.26590413364,,15.95379,,0.500,34413603.0
Asia (Except Middle East) not otherwise specified,2015,0,,,,,,
Bangladesh,2015,20,3700.11082057504,13.7874097824097,,,0.595,156256287.0
Bhutan,2015,0,10086.0727954667,14.1241397857666,,,0.628,727885.0
Brunei,2015,20,63147.4834900843,,,,,
Cambodia,2015,0,3546.33938731031,13.1356296539307,,,0.570,15521435.0
China,2015,1125,12691.8215526921,46.0404281616211,,38.6,0.739,1371220000.0
East Timor,2015,0,,,,,,
Hong Kong (Special Administrative Region of China),2015,590,,,,,,
India,2015,95,5464.39405731664,26.7689895629883,,,0.624,1310152392.0
Indonesia,2015,35,10149.6038700252,33.2507209777832,15.80023,39.7,0.695,258383257.0
Japan,2015,40,39777.5310167672,,,,0.908,127141000.0
Kazakhstan,2015,25,24290.4176339265,46.3735084533691,15.25645,26.8,0.806,17542806.0
Korea (North),2015,0,,,,,,
Korea (South),2015,125,,,,,,
Kyrgyzstan,2015,0,4805.14109238388,,,,0.690,
Laos,2015,0,6543.67068865935,,,,,
Macao (Special Administrative Region of China),2015,25,,,,,,
Malaysia,2015,495,24787.8237457166,45.5927085876465,,41.1,0.796,30270965.0
Maldives,2015,5,17284.6478941089,,12.74716,,0.724,454914.0
Mongolia,2015,0,11022.9785342491,68.0470123291016,11.44633,,0.735,2998433.0
Myanmar (Burma),2015,10,,,,,,
Nepal,2015,0,3331.87176945857,14.9664602279663,10.79779,,0.583,27015033.0
Pakistan,2015,50,4278.34666284049,9.2258996963501,22.78857,32.6,0.536,199426953.0
Philippines,2015,10,7300.13621040525,,,44.6,0.701,102113206.0
Singapore,2015,510,89519.7357100565,,,,0.931,5535002.0
Sri Lanka,2015,10,11890.5165276211,19.7583694458008,19.38278,,0.776,20970000.0
Taiwan,2015,35,,,,,,
Tajikistan,2015,0,2984.49491330069,26.5886192321777,9.94552,34.0,0.652,8454019.0
Thailand,2015,85,16285.3865749723,,,36.0,0.749,68714519.0
Total Asia,2015,3360,,,,,,
Turkmenistan,2015,0,12993.5318096291,,,,0.694,5565283.0
Uzbekistan,2015,0,6086.71574219326,8.22408962249756,,,0.701,31298900.0
Vietnam,2015,60,6438.25985369358,29.0734596252441,,,,92677082.0
American Samoa,2015,0,,,,,,55806.0
Antarctica and Oceania not otherwise specified,2015,0,,,,,,
Australia,2015,20,47636.319641906,118.610862731934,28.85535,,0.938,23815995.0
Christmas Island,2015,0,,,,,,
Cook Islands,2015,0,,,,,,
Fiji,2015,0,12569.1431129142,,,,0.737,868632.0
French Polynesia,2015,0,,,,,,273119.0
Guam,2015,0,,,,,,161851.0
Kiribati,2015,0,2168.99773241889,,,,0.625,110927.0
Marshall Islands,2015,0,3586.05642087459,,,,..,57444.0
Micronesia,2015,0,,,,,,
Nauru,2015,0,13551.9625979464,,,,,10374.0
New Caledonia,2015,0,,,,,,268700.0
New Zealand,2015,5,41086.1153021682,80.5633773803711,25.56619,,0.921,4609400.0
Niue,2015,0,,,,,,
Norfolk Island,2015,0,,,,,,
Northern Mariana Islands,2015,0,,,,,,55779.0
Palau,2015,0,18338.1282708705,,,,0.820,17665.0
Papua New Guinea,2015,0,4083.75243695251,,,,0.548,8107772.0
"Pitcairn, Henderson, Ducie And Oeno Islands",2015,0,,,,,,
Samoa,2015,0,5992.43932095216,,,,0.707,193510.0
Solomon Islands,2015,0,2518.64747830047,,,,0.563,603133.0
South Georgia and The South Sandwich Islands,2015,0,,,,,,
Tokelau,2015,0,,,,,,
Tonga,2015,0,5944.4526863595,,,37.6,0.720,100780.0
Total Australasia,2015,25,,,,,,
Tuvalu,2015,0,3720.30531533443,,,,,11099.0
Vanuatu,2015,0,2915.70045998521,,,,0.598,271128.0
Wallis and Futuna,2015,0,,,,,,
Bahrain,2015,10,48110.7341930587,43.275749206543,,,0.848,1371853.0
Iran,2015,25,12698.1091975659,,,,,
Iraq,2015,0,10122.2007755733,,,,0.649,35572269.0
Israel,2015,5,37554.5986562961,65.4868927001953,16.23448,,0.910,8380100.0
Jordan,2015,15,10145.8366996846,36.6310005187988,,,0.730,9266573.0
Kuwait,2015,5,54834.3916726177,55.1483306884766,,,0.801,3835588.0
Lebanon,2015,20,16299.2077629854,,,,0.744,6532681.0
Middle East not otherwise specified,2015,0,,,,,,
Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},2015,0,,,,,,
Oman,2015,10,30146.9560518823,39.2326393127441,,,0.814,4267341.0
Qatar,2015,5,95965.2512366176,14.7012901306152,,,0.839,2565708.0
Saudi Arabia,2015,15,48921.2152517247,61.0563507080078,,,0.859,31717676.0
Syria,2015,0,,,,,,
Total Middle East,2015,155,,,,,,
United Arab Emirates,2015,40,65218.8204340815,,,,0.859,9262896.0
Yemen,2015,0,,,,,0.483,
Anguilla,2015,0,,,,,,
Antigua and Barbuda,2015,0,18594.2616238259,,,,0.762,93571.0
Aruba,2015,0,37715.9266182631,15.2717695236206,25.09833,,,104339.0
"Bahamas, The",2015,0,,,,,,374200.0
Barbados,2015,5,15382.7656890531,,,,0.809,285327.0
Belize,2015,0,7358.58229184617,23.2536697387695,11.81363,,0.710,360926.0
Bermuda,2015,5,77842.7539032209,25.1421203613281,,,,65237.0
"Bonaire, Sint Eustatius and Saba",2015,0,,,,,,
British Virgin Islands,2015,0,,42.2585601806641,22.11944,,,29148.0
Canada,2015,60,47522.1406673151,64.7869567871094,,33.7,0.921,35702908.0
Caribbean not otherwise specified,2015,0,,,,,,
Cayman Islands,2015,0,67241.283390426,25.8510608673096,,,,61721.0
Central America not otherwise specified,2015,0,,,,,,
Costa Rica,2015,0,19141.6830724515,53.0526313781738,22.25432,48.4,0.797,4847805.0
Cuba,2015,0,,36.114200592041,,,0.772,11324777.0
Curaçao,2015,0,,,,,,
Dominica,2015,0,11873.7418376836,,8.86249,,0.739,71175.0
Dominican Republic,2015,0,15328.3595089817,51.7471084594727,,45.2,0.738,10281675.0
El Salvador,2015,0,8143.22444194766,27.9700508117676,7.87045,40.6,0.668,6325121.0
Greenland,2015,0,,,,,,56114.0
Grenada,2015,0,15142.06257045,95.6206588745117,,,0.770,109603.0
Guatemala,2015,0,8125.65553391647,21.7832908630371,13.78745,,0.652,15567419.0
Haiti,2015,0,2941.81608076667,,,,0.496,10695540.0
Honduras,2015,0,5283.41691357908,20.3955192565918,13.69218,49.2,0.618,9112904.0
Jamaica,2015,0,9473.10619523862,27.1306095123291,17.387,,0.731,2891024.0
Mexico,2015,5,19268.9143963283,31.8190402984619,21.47549,,0.766,121858251.0
Montserrat,2015,0,,,,,,
Nicaragua,2015,0,5630.40573760444,,,,0.652,6223234.0
North America not otherwise specified,2015,0,,,,,,
Panama,2015,0,28431.0824221868,47.2656288146973,,50.8,0.799,3968490.0
Puerto Rico,2015,0,34311.0296279548,96.0678329467773,,,,3473232.0
Sint Maarten (Dutch part),2015,0,41852.4041272813,5.90923023223877,,,,38825.0
St Barthélemy,2015,0,,,,,,
St Kitts and Nevis,2015,0,,,,,,
St Lucia,2015,0,,,,,,
St Martin (French Part),2015,0,,,,,,
St Pierre And Miquelon,2015,0,,,,,,
St Vincent and The Grenadines,2015,0,,,,,,
Total North America,2015,230,,,,,,
Trinidad and Tobago,2015,30,29053.3347831462,,,,0.792,1370332.0
Turks and Caicos Islands,2015,0,26693.1035377807,11.4583301544189,22.42435,,,35979.0
United States,2015,115,58540.2960929977,88.8894119262695,,41.2,0.921,320738994.0
United States Virgin Islands,2015,0,,,,,,
Argentina,2015,0,23933.8866120953,84.0019989013672,20.5357,,0.840,43131966.0
Bolivia,2015,0,7984.41198272424,,,46.7,,10869732.0
Brazil,2015,15,15064.1760689478,51.3200416564941,21.454,51.9,0.756,204471759.0
Chile,2015,0,24440.4152640857,85.2667236328125,25.68189,44.4,0.842,17969356.0
Colombia,2015,0,14095.748356648,53.2821388244629,21.38159,51.0,0.756,47520667.0
Ecuador,2015,10,11896.3751614302,44.8922309875488,43.51374,46.0,0.764,16212022.0
Falkland Islands,2015,0,,,,,,
Guyana,2015,0,11261.8137066367,,,,0.674,767433.0
Paraguay,2015,0,11828.1401290455,,,47.6,0.721,6688746.0
Peru,2015,10,12110.2668971421,,16.08268,43.4,0.759,30470739.0
South America not otherwise specified,2015,0,,,,,,
Suriname,2015,0,19317.0545070113,,,,0.740,559136.0
Total South America,2015,40,,,,,,
Uruguay,2015,0,22425.8300844671,59.6962203979492,,40.1,0.806,3412013.0
Venezuela,2015,0,,,,,,
Total,2015,6365,,,,,,
