Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Åland Islands,2018,0,,,,,,
Austria,2018,45,55297.6182880367,86.688346862793,,30.8,0.921,8840521.0
Belgium,2018,80,51110.9584679336,78.9011688232422,,27.2,0.930,11427054.0
Bulgaria,2018,95,22208.4522754771,71.5215225219727,,41.3,0.813,7025037.0
Canary Islands,2018,5,,,,,,
Croatia,2018,10,27799.8433225132,67.6542282104492,,29.7,0.848,4087843.0
Cyprus (European Union),2018,130,,,,,,
Cyprus not otherwise specified,2018,0,,,,,,
Czech Republic,2018,70,,63.7687683105469,,25.0,,10629928.0
Denmark,2018,30,56281.2888680368,81.183349609375,,28.2,0.939,5793636.0
Estonia,2018,5,35208.0239637019,70.3654327392578,,30.3,0.889,1321977.0
European Union not otherwise specified,2018,0,,,,,,
Finland,2018,25,48130.2923921114,90.2617568969727,,27.3,0.937,5515525.0
France,2018,570,45251.9054105957,67.5435180664063,,32.4,0.898,67101930.0
French Guiana,2018,0,,,,,,
Germany,2018,245,53463.4014817389,70.342643737793,,,0.946,82905782.0
Gibraltar,2018,0,,,,,,33715.0
Greece,2018,115,29150.6944922443,142.852035522461,,32.9,0.881,10732882.0
Guadeloupe,2018,0,,,,,,
Hungary,2018,155,31095.557503677,50.3065299987793,,29.6,0.850,9775564.0
Ireland,2018,15,84303.3408922937,77.2828826904297,,,0.951,4867316.0
Italy,2018,275,42052.5563822519,64.291618347168,,,0.890,60421760.0
Latvia,2018,15,30036.0865499334,93.0244827270508,,35.1,0.863,1927174.0
Lithuania,2018,45,35427.4618636641,73.7303009033203,,35.7,0.876,2801543.0
Luxembourg,2018,20,113589.670473448,18.5904693603516,,35.4,0.913,607950.0
Malta,2018,0,43313.4770253615,59.2517585754395,,28.7,0.894,484630.0
Martinique,2018,0,,,,,,
Mayotte,2018,0,,,,,,
Netherlands,2018,60,56060.9136269404,87.0978469848633,,28.1,0.942,17231624.0
Poland,2018,190,31674.1316243417,68.6201019287109,,30.2,0.877,37974750.0
Portugal,2018,45,34040.7255617749,65.6626586914063,,33.5,0.860,10283822.0
Réunion,2018,0,,,,,,
Romania,2018,290,28523.4731832065,51.0125389099121,,35.8,0.823,19473970.0
Slovakia,2018,70,31132.5729674338,,,,0.858,
Slovenia,2018,15,37968.3520620285,77.1131210327148,,24.6,0.912,2073894.0
Spain,2018,270,40312.5475864011,91.1125717163086,,34.7,0.905,46797754.0
Sweden,2018,50,52349.2924275599,72.4611663818359,,30.0,0.943,10175214.0
Total Other EU,2018,2940,,,,,,
Albania,2018,5,13323.7533559132,54.9613304138184,,,0.792,2866376.0
Andorra,2018,0,,,5.64106,,0.867,77008.0
Armenia,2018,5,12715.1089539751,54.5704803466797,,34.4,0.771,2951741.0
