Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Azerbaijan,2018,15,14209.6494059309,27.7084999084473,,,0.754,9939771.0
Belarus,2018,10,18885.2354999668,87.4290924072266,,25.2,0.823,9483499.0
Bosnia and Herzegovina,2018,0,14386.7318547663,43.4591217041016,,,0.777,3323929.0
Cyprus (Non-European Union),2018,0,,,,,,
Europe not otherwise specified,2018,0,,,,,,
Faroe Islands,2018,0,,,,,,48497.0
Georgia,2018,5,14253.4089858441,60.3344497680664,,36.4,0.805,3726549.0
Iceland,2018,0,56722.1193741156,73.1032485961914,,,0.946,352721.0
Kosovo,2018,0,10895.044002822,,,,,1797085.0
Liechtenstein,2018,0,,38.3002700805664,,,0.919,37918.0
Moldova,2018,0,12363.1468378401,55.7730407714844,11.90064,25.7,,2708214.0
Monaco,2018,5,,,,,,38682.0
Montenegro,2018,5,20686.5759142606,56.0809707641602,,,0.826,622227.0
North Macedonia,2018,5,16093.3104230501,43.1165008544922,,33.0,0.770,2082957.0
Norway,2018,30,64341.2589026158,83.0172576904297,,27.6,0.956,5311916.0
Russia,2018,150,26656.4095416865,,,,,
San Marino,2018,0,59576.4293867845,43.5217895507813,,,,33784.0
Serbia,2018,10,17452.7958990327,67.1586608886719,,,0.803,6982604.0
Svalbard and Jan Mayen,2018,0,,,,,,
Switzerland,2018,120,70663.4875973954,61.3774490356445,,33.1,0.955,8514329.0
Total Other Europe,2018,480,,,,,,
Turkey,2018,80,28312.6834243604,113.217071533203,,41.9,0.817,82340090.0
Ukraine,2018,25,12338.0024454764,,,26.1,0.774,44622518.0
Vatican City,2018,0,,,,,,
Africa not otherwise specified,2018,0,,,,,,
Algeria,2018,0,11642.1983450506,51.3656692504883,,,0.746,42228415.0
Angola,2018,0,6933.49993413352,,,51.3,0.582,30809787.0
Benin,2018,0,3160.7806702321,12.5169897079468,,,0.541,11485035.0
Botswana,2018,20,17634.6561910867,26.7171192169189,,,0.730,2254067.0
Burkina Faso,2018,0,2120.33026783506,6.50187015533447,,,0.443,19751466.0
Burundi,2018,0,761.524125241416,4.05766010284424,,,0.431,11175379.0
Cameroon,2018,0,3603.54827506808,14.2672700881958,,,0.560,25216261.0
Cape Verde,2018,0,6864.1852980816,,,,,
Central African Republic,2018,0,933.10995060419,,,,0.395,4666375.0
Chad,2018,0,1576.32111465904,,,,0.397,15477727.0
Comoros,2018,0,3066.83784677933,,,,0.552,832322.0
Congo,2018,0,3933.425550952,,,,0.573,
Congo (Democratic Republic) {formerly Zaire},2018,0,,,,,,
Djibouti,2018,0,5214.07218666426,,,,0.518,958923.0
Egypt,2018,35,11366.3355206681,,,,0.701,
Equatorial Guinea,2018,0,20386.0138677131,,,,0.582,1308966.0
Eritrea,2018,0,,,,,0.456,
Ethiopia,2018,0,2103.51585836696,10.4265699386597,,,0.478,109224410.0
Gabon,2018,0,14744.4343267491,,,,0.697,2119275.0
"Gambia, The",2018,0,,,,,,2280092.0
Ghana,2018,5,5177.88398862782,15.6917695999146,,,0.606,29767108.0
Guinea,2018,0,2499.70726640711,7.92106008529663,17.2974,,0.473,12414292.0
Guinea-Bissau,2018,0,1901.93173857674,,,,0.472,1874304.0
Ivory Coast,2018,0,,,,,,
Kenya,2018,20,4203.83827267811,,,,0.599,51392570.0
Kingdom of eSwatini,2018,0,,,,,,
Lesotho,2018,0,2614.65884916972,10.1962604522705,7.40778,,0.522,2108327.0
Liberia,2018,0,1497.00478720289,,,,0.480,4818976.0
Libya,2018,0,15017.9935741811,,,,0.721,6678565.0
Madagascar,2018,0,1592.05355843859,5.3504900932312,,,0.527,26262313.0
Malawi,2018,0,1471.03724879602,,,,0.478,18143215.0
Mali,2018,0,2283.70241285673,,,,0.431,19077755.0
Mauritania,2018,0,5042.43119844404,5.0020899772644,,,0.542,4403312.0
Mauritius,2018,20,22208.1381171868,41.5999794006348,6.42423,,0.801,1265303.0
Morocco,2018,40,7446.93622037578,35.9359283447266,,,0.680,36029089.0
Mozambique,2018,5,1289.73594800556,7.31255006790161,,,0.452,29496009.0
Namibia,2018,0,10092.258820242,24.1016006469727,,,0.645,2448300.0
Niger,2018,0,1200.97246385835,4.4143500328064,,,0.391,22442831.0
Nigeria,2018,35,5155.07599367409,,,35.1,0.534,195874685.0
Rwanda,2018,0,2088.74922433298,6.72571992874146,19.82273,,0.540,12301969.0
Sao Tome And Principe,2018,0,,,,,,
Senegal,2018,0,3309.48617330672,12.7625904083252,32.84079,,0.516,15854324.0
Seychelles,2018,0,27342.1616519905,17.0798492431641,,32.1,0.790,96762.0
Sierra Leone,2018,0,1663.29348036377,,46.3553,35.7,0.447,7650149.0
Somalia,2018,0,866.765302072035,,,,,15008225.0
South Africa,2018,5,12627.9285840445,23.8019599914551,15.25153,,0.707,57792520.0
South Sudan,2018,0,,0.749819993972778,,,0.429,10975924.0
"St Helena, Ascension and Tristan da Cunha",2018,0,,,,,,
Sudan,2018,0,4344.52988671066,,,,0.506,41801532.0
Swaziland,2018,0,,,,,,
Tanzania,2018,0,2590.20113826159,,,,,56313444.0
Togo,2018,0,2061.33417572853,13.5117502212524,,,0.510,7889095.0
Total Africa,2018,210,,,,,,
Tunisia,2018,10,10763.7297838206,31.7465190887451,,,0.738,11565203.0
Uganda,2018,5,2121.96781993514,,,,0.538,42729032.0
Western Sahara,2018,0,,,,,,
Zambia,2018,0,3521.5420629895,,,,0.582,17351714.0
Zimbabwe,2018,5,3341.66541766316,,,,0.569,14438812.0
Afghanistan,2018,0,2033.80438893717,9.68642044067383,,,0.509,37171922.0
Asia (Except Middle East) not otherwise specified,2018,0,,,,,,
Bangladesh,2018,15,4440.85547046826,20.5650691986084,,,0.625,161376713.0
Bhutan,2018,0,11348.4419521,15.5545101165771,,,0.649,754396.0
Brunei,2018,15,60389.1846472589,,,,,
Cambodia,2018,0,4159.33819437034,13.6877603530884,,,0.585,16249795.0
China,2018,2090,15242.9858575834,50.6044387817383,,,0.755,1392730000.0
East Timor,2018,0,,,,,,
Hong Kong (Special Administrative Region of China),2018,700,,,,,,
India,2018,130,6518.84505546914,28.0605506896973,,,0.642,1352642283.0
Indonesia,2018,45,11371.7255560847,36.3110389709473,,37.8,0.712,267670549.0
Japan,2018,60,41182.3802046593,64.1038436889648,,,0.917,126529100.0
Kazakhstan,2018,25,25544.3447563035,53.9882507324219,9.38161,27.8,0.819,18276452.0
Korea (North),2018,0,,,,,,
Korea (South),2018,195,,,,,,
Kyrgyzstan,2018,0,5133.1519146081,,,,0.696,
Laos,2018,0,7592.82947474583,,,,,
Macao (Special Administrative Region of China),2018,45,,,,,,
Malaysia,2018,510,27558.1369502408,45.1253890991211,21.34708,,0.805,31528033.0
Maldives,2018,0,18795.5303498427,,,,0.734,515704.0
Mongolia,2018,5,11915.5567471637,65.5954437255859,,32.7,0.735,3170214.0
Myanmar (Burma),2018,10,,,,,,
Nepal,2018,5,3773.71591761441,12.4108600616455,,,0.596,28095712.0
Pakistan,2018,65,4739.47271266276,8.95841979980469,,31.6,0.552,212228288.0
Philippines,2018,10,8516.13654897274,,,42.3,0.711,106651394.0
Singapore,2018,535,98222.846041782,88.8864517211914,,,0.936,5638676.0
Sri Lanka,2018,15,12860.3208303539,19.6302394866943,20.74192,,0.779,21670000.0
Taiwan,2018,45,,,,,,
Tajikistan,2018,0,3415.32233593608,,,,0.661,9100847.0
Thailand,2018,110,18095.7365704368,,,36.4,0.772,69428454.0
Total Asia,2018,4670,,,,,,
Turkmenistan,2018,0,14845.3446497287,,,,0.710,5850902.0
Uzbekistan,2018,0,6755.48097366685,10.0763502120972,,,0.717,32956100.0
Vietnam,2018,40,7585.94315504036,,,35.7,,95545959.0
American Samoa,2018,0,,,,,,55461.0
Antarctica and Oceania not otherwise specified,2018,0,,,,,,
Australia,2018,25,49151.6887104846,107.808052062988,,,0.943,24982688.0
Christmas Island,2018,0,,,,,,
Cook Islands,2018,0,,,,,,
Fiji,2018,0,13846.1588353285,,,,0.742,883490.0
French Polynesia,2018,0,,,,,,277673.0
Guam,2018,0,,,,,,165770.0
Kiribati,2018,0,2254.05923175595,,,,0.628,115842.0
Marshall Islands,2018,0,3806.68972448112,,,,0.702,58412.0
Micronesia,2018,0,,,,,,
Nauru,2018,0,13636.3609415279,,,,,10678.0
New Caledonia,2018,0,,,,,,270650.0
New Zealand,2018,15,42866.1272276586,82.9830322265625,,,0.928,4900600.0
Niue,2018,0,,,,,,
Norfolk Island,2018,0,,,,,,
Northern Mariana Islands,2018,0,,,,,,56889.0
Palau,2018,0,18444.3077619985,,,,0.822,17911.0
Papua New Guinea,2018,0,4190.0948949613,,,,0.549,8606324.0
"Pitcairn, Henderson, Ducie And Oeno Islands",2018,0,,,,,,
Samoa,2018,0,6322.2089973185,14.6420497894287,,,0.709,196128.0
Solomon Islands,2018,0,2697.64643055486,,,,0.564,652856.0
South Georgia and The South Sandwich Islands,2018,0,,,,,,
Tokelau,2018,0,,,,,,
Tonga,2018,0,6411.28936778647,,,,0.723,103199.0
Total Australasia,2018,40,,,,,,
Tuvalu,2018,0,3945.56367272662,,,,,11505.0
Vanuatu,2018,0,3093.46154723291,,,,0.603,292675.0
Wallis and Futuna,2018,0,,,,,,
Bahrain,2018,5,46200.445580954,50.4818992614746,,,0.852,1569440.0
Iran,2018,30,13471.8606376875,,,,,
Iraq,2018,0,10346.2129581855,,,,0.671,38433604.0
Israel,2018,10,39418.3453068224,61.4768714904785,,,0.916,8882800.0
Jordan,2018,10,10013.3976633388,34.4153213500977,22.74788,,0.728,9965322.0
Kuwait,2018,10,50478.5875050676,54.3641395568848,,,0.807,4137314.0
Lebanon,2018,50,15588.1528714896,,,,0.747,6859408.0
Middle East not otherwise specified,2018,0,,,,,,
Occupied Palestinian Territories {formerly West Bank (including East Jerusalem) and Gaza Strip},2018,0,,,,,,
Oman,2018,5,28350.9435298546,38.0362091064453,,,0.813,4829476.0
Qatar,2018,5,90970.0609016321,17.8699207305908,,,0.845,2781682.0
Saudi Arabia,2018,20,47592.7671473292,68.0398864746094,,,0.854,33702757.0
Syria,2018,0,,,,,,
Total Middle East,2018,215,,,,,,
United Arab Emirates,2018,70,66968.2211775042,,,26.0,0.889,9630966.0
Yemen,2018,0,,,,,0.468,
Anguilla,2018,0,,,,,,
Antigua and Barbuda,2018,0,21030.3950717884,,,,0.772,96282.0
Aruba,2018,0,,,,,,105846.0
"Bahamas, The",2018,0,,,,,,385635.0
Barbados,2018,5,15674.9043195592,,,,0.810,286640.0
Belize,2018,0,7261.87028738671,24.5408401489258,,,0.714,383071.0
Bermuda,2018,5,81422.1346003442,19.0272598266602,,,,63919.0
"Bonaire, Sint Eustatius and Saba",2018,0,,,,,,
British Virgin Islands,2018,0,,16.2540893554688,,,,29795.0
Canada,2018,75,48796.8137814007,70.1130218505859,,,0.928,37065178.0
Caribbean not otherwise specified,2018,0,,,,,,
Cayman Islands,2018,0,71784.0480787384,,,,,64172.0
Central America not otherwise specified,2018,0,,,,,,
Costa Rica,2018,0,20559.8604252658,55.3101005554199,23.13634,48.0,0.808,4999443.0
Cuba,2018,0,,41.379020690918,,,0.781,11338146.0
Curaçao,2018,0,,,,,,
Dominica,2018,0,11537.0190725758,,,,0.738,71626.0
Dominican Republic,2018,0,17711.7955337583,,,43.7,0.751,10627147.0
El Salvador,2018,0,8614.01795915499,29.3719291687012,9.17133,38.6,0.670,6420740.0
Greenland,2018,0,,,,,,56023.0
Grenada,2018,0,16801.9552384337,104.561882019043,,,0.773,111449.0
Guatemala,2018,0,8462.17210684372,,13.89463,,0.657,16346950.0
Haiti,2018,0,2992.31041114318,,,,0.508,11123183.0
Honduras,2018,0,5680.36288396582,26.1642208099365,,48.9,0.633,9587523.0
Jamaica,2018,0,9734.86228780542,,19.59513,,0.734,2934853.0
Mexico,2018,10,19928.3956618582,41.5228004455566,,45.4,0.776,126190782.0
Montserrat,2018,0,,,,,,
Nicaragua,2018,0,5729.68822390273,,,,0.659,6465502.0
North America not otherwise specified,2018,0,,,,,,
Panama,2018,0,31012.9461549459,,,49.2,0.812,4176868.0
Puerto Rico,2018,0,34299.358536451,,,,,3193354.0
Sint Maarten (Dutch part),2018,0,35342.1066072069,,,,,40654.0
St Barthélemy,2018,0,,,,,,
St Kitts and Nevis,2018,0,,,,,,
St Lucia,2018,0,,,,,,
St Martin (French Part),2018,0,,,,,,
St Pierre And Miquelon,2018,0,,,,,,
St Vincent and The Grenadines,2018,0,,,,,,
Total North America,2018,265,,,,,,
Trinidad and Tobago,2018,25,26250.3722429394,,,,0.795,1389841.0
Turks and Caicos Islands,2018,0,28160.8892876027,,24.43859,,,37667.0
United States,2018,140,61585.7560382102,88.2991790771484,,41.4,0.925,326838199.0
United States Virgin Islands,2018,0,,,,,,
Argentina,2018,5,22759.3985583341,91.6006011962891,,41.3,0.842,44494502.0
Bolivia,2018,0,8655.53149780443,,,42.6,,11353140.0
Brazil,2018,15,14668.2561636292,53.2573509216309,,53.9,0.762,209469320.0
Chile,2018,0,25028.9099914542,90.8963088989258,,,0.849,18729166.0
Colombia,2018,5,14314.8555765268,55.3274917602539,23.31461,50.4,0.764,49661056.0
Ecuador,2018,10,11561.747853143,47.597770690918,,45.4,0.762,17084359.0
Falkland Islands,2018,0,,,,,,
Guyana,2018,0,12477.5767111562,,,,0.680,779007.0
Paraguay,2018,0,12827.7080209236,,,46.0,0.727,6956069.0
Peru,2018,5,12781.4164435302,,15.77045,42.4,0.771,31989265.0
South America not otherwise specified,2018,0,,,,,,
Suriname,2018,0,19005.6543464151,,,,0.734,575987.0
Total South America,2018,40,,,,,,
Uruguay,2018,0,23035.0833880454,97.4452514648438,,39.7,0.816,3449290.0
Venezuela,2018,0,,,,,,
Total,2018,8860,,,,,,
