Country of domicile,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Population
Åland Islands,2016,0,,,,,,
Austria,2016,55,53269.3062047537,83.454948425293,32.48871,30.8,0.917,8736668.0
Belgium,2016,70,49828.9629137518,75.8906402587891,22.2845,27.6,0.924,11331422.0
Bulgaria,2016,70,20513.10095142,71.2457427978516,,40.6,0.811,7127822.0
Canary Islands,2016,0,,,,,,
Croatia,2016,10,25599.8436234435,66.5323791503906,,30.9,0.841,4174349.0
Cyprus (European Union),2016,120,,,,,,
Cyprus not otherwise specified,2016,0,,,,,,
Czech Republic,2016,45,,63.7481307983398,12.59606,25.4,,10566332.0
Denmark,2016,25,54185.0084787703,81.0567474365234,,28.2,0.935,5728010.0
Estonia,2016,5,32130.3008763844,71.3904495239258,27.11812,31.2,0.881,1315790.0
European Union not otherwise specified,2016,0,,,,,,
Finland,2016,20,46206.7878130494,86.9785232543945,26.54204,27.1,0.932,5495303.0
France,2016,420,43705.1475593257,64.7276763916016,,31.9,0.894,66724104.0
French Guiana,2016,0,,,,,,
Germany,2016,200,51803.2354226767,69.5805892944336,25.98579,31.9,0.941,82348669.0
Gibraltar,2016,5,,,,,,33738.0
Greece,2016,90,28226.9072784414,131.540863037109,,35.0,0.874,10775971.0
Guadeloupe,2016,0,,,,,,
Hungary,2016,110,28170.8213622975,48.0388603210449,16.07903,30.3,0.844,9814023.0
Ireland,2016,15,72864.4891443774,77.5571365356445,19.58165,32.8,0.943,4755335.0
Italy,2016,215,40837.7376281437,60.937328338623,19.11673,35.2,0.884,60627498.0
Latvia,2016,10,27503.1773004104,80.6048126220703,16.04117,34.3,0.854,1959537.0
Lithuania,2016,25,31925.8034212317,71.118522644043,20.5208,38.4,0.867,2868231.0
Luxembourg,2016,15,113035.834714458,19.5639305114746,,31.7,0.910,582014.0
Malta,2016,5,40536.7181783198,48.6034088134766,,29.1,0.885,455356.0
Martinique,2016,0,,,,,,
Mayotte,2016,0,,,,,,
